,delta_time,longitude,latitude,heights,class,utm_x,utm_y,elapsed_seconds,qGIS_Surface_Type
57,144088547.743228,-77.46202365661993,85.698166308648,0.07652463,other,579513.6235962088,9524292.416819176,1260.3584043848964,ice
58,144088547.7443051,-77.46243845774674,85.69810577430624,-0.06516435,other,579511.3140584751,9524285.176899184,1260.3032886723506,ice
59,144088547.74498165,-77.46269931226522,85.69806774966403,-0.19883177,other,579509.860815956,9524280.628737092,1260.2481729598053,pond
60,144088547.745411,-77.46286493562576,85.69804362403262,-0.24025345,specular_lead_low_w_bkg,579508.937776164,9524277.742886748,1260.1930572472595,pond
61,144088547.74590185,-77.46305436604588,85.69801603664138,-0.24656853,specular_lead_low_w_bkg,579507.8819243069,9524274.442892618,1260.1379415347135,lead
62,144088547.74634528,-77.46322566207091,85.6979911031617,-0.24123162,specular_lead_low_w_bkg,579506.926893687,9524271.460237078,1260.082825822168,lead
63,144088547.74688688,-77.46343487190835,85.69796067623065,-0.23412094,specular_lead_low_w_bkg,579505.7599932414,9524267.82019248,1260.0277101096224,ice
64,144088547.74738023,-77.46362577978675,85.6979329315631,-0.21045768,other,579504.6947748973,9524264.50084043,1259.9725943970768,ice
65,144088547.7481703,-77.463930442014,85.69788853417883,-0.13747817,other,579502.9970197476,9524259.190323267,1259.917478684531,lead
66,144088547.74910477,-77.46429203060794,85.69783600446652,-0.14151552,other,579500.978954284,9524252.90552648,1259.8623629719857,ice
67,144088547.74988168,-77.4645946107347,85.69779236581033,-0.14737329,other,579499.2842862337,9524247.681449927,1259.8072472594397,ice
68,144088547.75063884,-77.46489028503939,85.69774980293904,-0.1464642,other,579497.6267725736,9524242.585396657,1259.752131546894,lead
69,144088547.7514943,-77.4652243520403,85.69770173566222,-0.15804103,other,579495.7535623577,9524236.83009196,1259.6970158343483,ice
70,144088547.7522867,-77.46553399036834,85.69765720676318,0.0020858329,other,579494.0168407699,9524231.498232272,1259.6419001218028,ice
71,144088547.7533662,-77.46595637853213,85.6975965308535,0.033609435,other,579491.6463864197,9524224.232299482,1259.586784409257,ice
72,144088547.75467926,-77.4664703984802,85.69752274128608,-0.12438582,other,579488.7606458516,9524215.395546252,1259.5316686967112,lead
73,144088547.75736862,-77.46752385122093,85.6973715504004,-0.19003507,other,579482.8453502846,9524197.289203033,1259.4765529841657,lead
74,144088547.7603529,-77.46869279702393,85.69720372909423,-0.17886478,other,579476.2818100078,9524177.191828305,1259.42143727162,lead
75,144088547.76119632,-77.46902306830478,85.69715627815077,-0.15637216,other,579474.4278670046,9524171.509710228,1259.3663215590743,lead
76,144088547.76168957,-77.46921595328598,85.69712855543206,-0.1879994,other,579473.3452906987,9524168.190095035,1259.3112058465283,lead
77,144088547.7621664,-77.46940260430486,85.69710171374793,-0.22409105,specular_lead_low_w_bkg,579472.297958082,9524164.97612374,1259.2560901339828,ice
78,144088547.76267105,-77.46959999909093,85.69707332165977,-0.22572975,specular_lead_low_w_bkg,579471.1904175521,9524161.576563774,1259.2009744214372,ice
79,144088547.7632554,-77.46982854316259,85.69704042118195,-0.21485329,specular_lead_low_w_bkg,579469.9085942488,9524157.63745888,1259.1458587088916,lead
80,144088547.76382393,-77.47005068590401,85.69700841532433,-0.2077192,other,579468.6631407014,9524153.805726005,1259.090742996346,ice
81,144088547.7642619,-77.47022170903398,85.69698376787856,-0.18902901,other,579467.7043974665,9524150.855007231,1259.0356272838003,lead
82,144088547.7647318,-77.4704052516158,85.69695730008881,-0.17649539,other,579466.6757485612,9524147.686518222,1258.9805115712545,ice
83,144088547.76530543,-77.47062893014589,85.69692500092638,-0.1365227,other,579465.4229378202,9524143.820369188,1258.9253958587087,pond
84,144088547.76614925,-77.47095793025322,85.69687749344001,0.62946767,other,579463.5801724382,9524138.133816063,1258.8702801461632,ice
85,144088547.76726696,-77.47139365343747,85.69681455618267,0.18802929,other,579461.1398934036,9524130.600540144,1258.8151644336176,ice
86,144088547.76831886,-77.47180404525413,85.6967553083291,0.23291099,other,579458.8408215438,9524123.508584766,1258.7600487210718,ice
87,144088547.76940632,-77.47222686890308,85.69669405901838,0.09849612,other,579456.4758123561,9524116.179044511,1258.7049330085265,lead
88,144088547.7702383,-77.47254844419322,85.69664714061373,-0.12627698,other,579454.6832404208,9524110.56765652,1258.6498172959805,ice
89,144088547.77105236,-77.47286272970835,85.69660121042945,-0.08209855,other,579452.9326349029,9524105.075178048,1258.5947015834347,ice
90,144088547.7719493,-77.47320857493035,85.69655061098166,-0.006008461,other,579451.0072233956,9524099.024879998,1258.5395858708891,ice
91,144088547.7730636,-77.47363811339996,85.69648775872275,0.10127267,other,579448.6159182441,9524091.509567143,1258.4844701583436,ice
92,144088547.7739646,-77.47398539874948,85.69643691356374,0.20746036,other,579446.682976528,9524085.430233316,1258.4293544457976,ice
93,144088547.77505857,-77.47440634079987,85.69637518507695,0.46131563,other,579444.3418094824,9524078.050574817,1258.3742387332522,ice
94,144088547.7764255,-77.47493212780039,85.6962980319825,0.5483331,other,579441.4182936876,9524068.827381706,1258.3191230207065,pond
95,144088547.7774294,-77.47531813846243,85.69624137613046,0.5917737,other,579439.2721133209,9524062.054646056,1258.264007308161,ice
96,144088547.7786138,-77.47577344554644,85.69617452121796,0.5594614,other,579436.7410595235,9524054.06297318,1258.2088915956151,ice
97,144088547.7796228,-77.4761612562047,85.69611757553594,0.35777232,other,579434.5851519,9524047.255848683,1258.153775883069,ice
98,144088547.7804466,-77.47647793410025,85.69607107439313,0.15967324,other,579432.8246277819,9524041.697245086,1258.0986601705235,pond
99,144088547.78138423,-77.47683827680707,85.69601815573358,0.07837788,other,579430.8213899111,9524035.371571552,1258.0435444579782,ice
100,144088547.78217795,-77.477143432139,85.69597334240915,0.045840807,other,579429.1248800947,9524030.014774004,1257.9884287454324,pond
101,144088547.78283948,-77.47739783181994,85.69593600344754,0.005813971,other,579427.7101232603,9524025.551239384,1257.9333130328864,pond
102,144088547.78350222,-77.47765262686131,85.69589859475485,-0.01802845,other,579426.2933452402,9524021.079482537,1257.878197320341,pond
103,144088547.78406063,-77.47786737463825,85.69586707118381,-0.0184061,other,579425.0991188257,9524017.311172202,1257.8230816077953,pond
104,144088547.78470165,-77.4781140895043,85.6958308711297,-0.010739949,other,579423.7267917872,9524012.9836891,1257.7679658952495,pond
105,144088547.78525826,-77.47832830329827,85.69579944432498,-0.009119431,other,579422.5351383152,9524009.226778006,1257.712850182704,pond
106,144088547.78584066,-77.47855242380108,85.69576657368985,-0.03663318,other,579421.2881697426,9524005.29717688,1257.6577344701584,pond
107,144088547.78625357,-77.47871145114314,85.69574325312537,-0.0656211,other,579420.4032920287,9524002.50923404,1257.6026187576126,pond
108,144088547.78676665,-77.47890898035249,85.6957142938579,-0.020597413,other,579419.3040209076,9523999.047123652,1257.547503045067,ice
109,144088547.7877223,-77.47927694581429,85.69566031885891,0.032531343,other,579417.2567176295,9523992.594630582,1257.4923873325213,ice
110,144088547.7891997,-77.47984659493908,85.69557690737595,0.110625625,other,579414.0844048177,9523982.621748446,1257.4372716199755,ice
111,144088547.7901045,-77.48019648712454,85.69552587104229,0.04483007,other,579412.1321719098,9523976.5178672,1257.38215590743,ice
112,144088547.79072887,-77.48043834151832,85.69549065731003,-0.0836813,other,579410.7815206414,9523972.305747434,1257.3270401948844,ice
113,144088547.79126525,-77.48064611604755,85.69546042011349,-0.08197913,specular_lead_low_w_bkg,579409.6208954903,9523968.688764416,1257.2719244823384,ice
114,144088547.79241547,-77.48109224196914,85.69539554088696,-0.023287766,specular_lead_high_w_bkgr,579407.12793007,9523960.927471008,1257.216808769793,ice
115,144088547.79315382,-77.48137859066823,85.69535391680647,-0.06742253,specular_lead_high_w_bkgr,579405.5273928056,9523955.947940264,1257.1616930572472,ice
116,144088547.79341146,-77.48147859867501,85.69533938529878,-0.059777394,specular_lead_high_w_bkgr,579404.9682829478,9523954.209467107,1257.1065773447017,ice
117,144088547.79409036,-77.48174234508646,85.69530107202522,-0.05094469,specular_lead_high_w_bkgr,579403.4935570227,9523949.625775998,1257.051461632156,pond
118,144088547.79444304,-77.48187915102227,85.69528119914206,-0.09547135,specular_lead_high_w_bkgr,579402.7285912987,9523947.248239225,1256.99634591961,pond
